market_segment
Direct
Direct
Direct
Corporate
Online TA
Online TA
Direct
Direct
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Corporate
Direct
Online TA
Direct
Direct
Direct
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Online TA
Offline TA/TO
Direct
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Offline TA/TO
Direct
Direct
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Direct
Direct
Online TA
Direct
Online TA
Online TA
Online TA
Direct
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Direct
Offline TA/TO
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Direct
Direct
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Online TA
Direct
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Direct
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Online TA
Complementary
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Direct
Online TA
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Direct
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Online TA
Offline TA/TO
Direct
Online TA
Online TA
Online TA
Direct
Direct
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Direct
Offline TA/TO
Direct
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Direct
Direct
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Offline TA/TO
Direct
Offline TA/TO
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Corporate
Corporate
Corporate
Direct
Direct
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Online TA
Online TA
Direct
Direct
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Direct
Direct
Online TA
Online TA
Direct
Online TA
Online TA
Direct
Online TA
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Direct
Online TA
Corporate
Offline TA/TO
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Direct
Online TA
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Direct
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Offline TA/TO
Online TA
Direct
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Corporate
Offline TA/TO
Direct
Direct
Offline TA/TO
Direct
Online TA
Online TA
Online TA
Direct
Direct
Online TA
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Direct
Direct
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Corporate
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Direct
Direct
Direct
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Online TA
Online TA
Direct
Corporate
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Groups
Groups
Groups
Groups
Groups
Online TA
Groups
Groups
Groups
Groups
Groups
Groups
Groups
Groups
Groups
Groups
Groups
Groups
Groups
Groups
Groups
Online TA
Online TA
Online TA
Direct
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Direct
Direct
Online TA
Online TA
Online TA
Direct
Direct
Direct
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Direct
Online TA
Direct
Online TA
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Online TA
Direct
Direct
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Offline TA/TO
Direct
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Direct
Online TA
Direct
Direct
Online TA
Direct
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Direct
Direct
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Online TA
Direct
Online TA
Direct
Online TA
Online TA
Online TA
Direct
Direct
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Direct
Direct
Direct
Online TA
Direct
Direct
Online TA
Offline TA/TO
Direct
Offline TA/TO
Direct
Direct
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Direct
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Direct
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Online TA
Offline TA/TO
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Direct
Online TA
Offline TA/TO
Direct
Online TA
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Corporate
Online TA
Online TA
Online TA
Direct
Direct
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Offline TA/TO
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Direct
Offline TA/TO
Online TA
Online TA
Direct
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Offline TA/TO
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Direct
Online TA
Online TA
Direct
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Direct
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Direct
Online TA
Offline TA/TO
Direct
Online TA
Direct
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Direct
Online TA
Online TA
Direct
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Direct
Direct
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Offline TA/TO
Direct
Online TA
Online TA
Direct
Online TA
Offline TA/TO
Offline TA/TO
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Offline TA/TO
Direct
Direct
Direct
Offline TA/TO
Direct
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Offline TA/TO
Corporate
Online TA
Online TA
Direct
Online TA
Online TA
Online TA
Offline TA/TO
Online TA
Online TA
Online TA
Online TA
Online TA
